Date,High,Low,Wind mph,UV Index,Pressure hPa,Humidity %,Obs

2023-02-28,8,4,11,0,1033,86,cloudy/showers
2023-02-27,9,0,12,1,1033,83,mostly cloudy/light rain
2023-02-26,8,3,12,1,1029,55,partly cloudy
2023-02-25,7,2,10,0,1023,84,mostly cloudy/rain
2023-02-24,9,1,9,0,1019,69,partly cloudy
2023-02-23,8,1,11,0,1021,62,mostly cloudy
2023-02-22,12,7,9,0,1017,86,mostly cloudy
2023-02-21,11,6,8,0,1018,87,cloudy
2023-02-20,13,8,11,1,1025,68,partly cloudy
2023-02-19,13,6,12,2,1027,65,partly cloudy
2023-02-18,14,9,16,0,1019,86,cloudy/windy
2023-02-17,14,9,20,1,1018,84,cloudy/windy
2023-02-16,13,6,12,0,1018,92,cloudy
2023-02-15,13,1,7,0,1023,92,mostly cloudy
2023-02-14,12,0,5,1,1031,97,mostly sunny/fog
2023-02-13,10,3,5,1,1035,88,mostly sunny
2023-02-12,9,5,3,0,1037,86,mostly cloudy
2023-02-11,11,5,6,0,1035,93,cloudy
2023-02-10,8,-2,9,1,1036,81,mostly cloudy
2023-02-09,8,1,7,0,1031,94,mostly sunny
2023-02-08,8,-4,6,0,1028,82,partly cloudy
2023-02-07,8,-3,3,1,1039,96,mostly sunny
2023-02-06,7,-2,6,1,1042,81,mostly sunny
2023-02-05,8,1,5,1,1045,67,partly cloudy
2023-02-04,10,6,7,0,1037,81,cloudy
2023-02-03,12,6,13,1,1030,76,cloudy
2023-02-02,12,6,15,1,1025,74,cloudy/breezy
2023-02-01,9,4,16,0,1022,83,partly cloudy/breezy
2023-01-31,10,3,14,0,1023,91,cloudy/windy
2023-01-30,8,3,15,1,1024,78,partly cloudy/wind
2023-01-29,9,3,14,0,1021,86,mostly cloudy
2023-01-28,6,1,6,0,1032,83,partly cloudy
2023-01-27,6,0,8,0,1031,94,mostly cloudy
2023-01-26,7,2,11,0,1031,93,mostly cloudy/light rain
2023-01-25,7,-1,8,0,1030,94,cloudy/rain
2023-01-24,3,-5,2,0,1040,100,partly cloudy
2023-01-23,4,-4,3,0,1038,75,mostly cloudy
2023-01-22,2,-6,4,0,1036,95,mostly cloudy
2023-01-21,4,-3,2,0,1036,82,mostly clear
2023-01-20,0,0,0,0,0,0,sleepy day
2023-01-19,3,-2,7,0,1006,93,mostly sunny
2023-01-18,4,-2,12,0,995,91,mostly sunny
2023-01-17,3,-4,7,0,988,94,mostly sunny
2023-01-16,3,-3,16,0,987,82,partly cloudy/rain/wind
2023-01-15,7,1,12,0,995,89,partly cloudy
2023-01-14,11,3,18,0,994,83,cloudy/wind
2023-01-13,9,4,24,0,1007,74,partly cloudy/wind
2023-01-12,11,3,20,0,1000,74,partly cloudy/rain/wind
2023-01-11,10,6,22,0,1005,86,cloudy/rain/wind
2023-01-10,12,3,17,0,1007,92,clody/rain/wind
2023-01-09,8,3,14,0,1007,78,partly cloudy
2023-01-08,8,3,17,0,990,85,cloudy/wind/rain
2023-01-07,12,6,21,0,996,87,cloudy/rain/wind
2023-01-06,11,5,12,0,1013,93,cloudy
2023-01-05,12,7,10,0,1019,93,cloudy/rain
2023-01-04,9,2,22,0,1010,89,cloudy/rain/wind
2023-01-03,11,0,20,0,1016,92,cloudy/rain/wind
2023-01-02,7,1,6,0,1020,83,mostly sunny
2023-01-01,11,4,16,0,1006,82,mostly cloudy/rain/wind
