Date y-m-d,High,Low,Wind mph,UV Index,Pressure hPa,Humidity %,Obs

2024-01-12,7,2,7,0,1038,88,cloudy
2024-01-11,8,2,12,0,1038,83,cloudy
2024-01-10,6,3,13,1,1033,81,sunny/windy
2024-01-09,5,1,19,0,1035,77,sunny/windy
2024-01-08,3,1,18,0,1035,73,cloudy/windy
2024-01-07,4,1,11,0,1029,78,partly cloudy
2024-01-06,6,3,7,0,1017,91,mostly cloudy/drizzle
2024-01-05,6,4,11,0,1001,91,cloudy
2024-01-04,7,4,12,0,1000,91,mostly cloudy/rain in the evening
2024-01-03,10,8,16,0,998,92,cloudy/some rain
2024-01-02,12,7,25,0,984,91,cloudy/rain/strong wind
2024-01-01,10,5,17,0,997,86,mostly cloudy/some wind and rain
