Date y-m-d,High,Low,Wind mph,UV Index,Pressure hPa,Humidity %,Obs
*,*,*,*,*,*,*,January
2026-01-01,5,2,17,0,1007,82,cloudy/windy
2026-01-02,2,-1,15,0,1004,73,sunny/windy/a bit of snow morning
2026-01-03,2,-3,12,0,1013,76,sunny
2026-01-04,1,-4,11,0,1013,82,sunny
2026-01-05,1,-4,12,0,1014,77,sunny/morning snow
2026-01-06,3,-5,19,0,1014,89,cloudy/evening rain/windy
2026-01-07,5,1,18,1,1004,83,cloudy/windy
2026-01-08,3,1,20,0,998,95,cloudy/evening rain/wind/storm Goretti
2026-01-09,3,1,22,0,993,93,cloudy/morning rain/wind/storm Goretti
2026-01-10,2,-1,12,0,1016,91,mostly cloudy
2026-01-11,10,-2,23,1,1011,91,cloudy/windy/evening rain
